大区,服务器,serverid,最低价(元),等级,简介,卖家,商品链接,eid
浙江1区,西栅老街,132,44.00,133,成长:1.225 1技能,*****,https://xyq.cbg.163.com/equip?s=132&eid=202606220700113-132-AT7YS5HANZXE,202606220700113-132-AT7YS5HANZXE
河南1区,中岳嵩山,197,44.00,0,成长:1.275 1技能,******,https://xyq.cbg.163.com/equip?s=197&eid=202606201600113-197-4WZ0UVXFKASU,202606201600113-197-4WZ0UVXFKASU
广西1区,青秀山,249,44.00,0,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=249&eid=202606220000113-249-OUVL6LZUPB63,202606220000113-249-OUVL6LZUPB63
华南区,钓鱼岛,625,44.00,0,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=625&eid=202606201400113-625-VCEFCQA2UFZF,202606201400113-625-VCEFCQA2UFZF
浙江1区,龙泉山,856,44.00,129,成长:1.25,****,https://xyq.cbg.163.com/equip?s=856&eid=202606220200113-856-9HGJXAQUFPOE,202606220200113-856-9HGJXAQUFPOE
北京1区,繁荣富强,871,44.00,130,成长:1.275,******,https://xyq.cbg.163.com/equip?s=871&eid=202606212200113-871-IBCCHK7SKWZQ,202606212200113-871-IBCCHK7SKWZQ
浙江1区,文澜阁,712,44.20,127,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=712&eid=202606191500113-712-YKYGRDNBFCTB,202606191500113-712-YKYGRDNBFCTB
上海2区,徐家汇,622,44.50,139,成长:1.25,******,https://xyq.cbg.163.com/equip?s=622&eid=202606212300113-622-R9GV25V3IBXO,202606212300113-622-R9GV25V3IBXO
江苏3区,镇淮楼,462,44.88,24,成长:1.191,******,https://xyq.cbg.163.com/equip?s=462&eid=202606220300113-462-FXRBZXCFIRR5,202606220300113-462-FXRBZXCFIRR5
河南2区,少室山,193,44.96,128,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=193&eid=202606210300113-193-0NLQ80IF0Y73,202606210300113-193-0NLQ80IF0Y73
良辰美景,水云归,941,44.98,133,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=941&eid=202606220900113-941-A88VO55OVYBS,202606220900113-941-A88VO55OVYBS
北京1区,国子监,3,45.00,134,成长:1.237,******,https://xyq.cbg.163.com/equip?s=3&eid=202606201000113-3-JBSGCZ5PLWOPXH,202606201000113-3-JBSGCZ5PLWOPXH
山东4区,大明湖,207,45.00,1,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=207&eid=202606191200113-207-JKPW6KBJCLMQ,202606191200113-207-JKPW6KBJCLMQ
深圳2区,梧桐山,412,45.00,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=412&eid=202606192100113-412-JXZFFM6AYHHW,202606192100113-412-JXZFFM6AYHHW
北京1区,生日快乐,527,45.00,0,成长:1.275,*********,https://xyq.cbg.163.com/equip?s=527&eid=202606192200113-527-5PXM8SBS6NSU,202606192200113-527-5PXM8SBS6NSU
无与伦比,兰亭序,554,45.00,139,成长:1.225,******,https://xyq.cbg.163.com/equip?s=554&eid=202606220700113-554-UF9JK9VF1DBG,202606220700113-554-UF9JK9VF1DBG
江苏1区,天下文枢,855,45.00,139,成长:1.275,*****,https://xyq.cbg.163.com/equip?s=855&eid=202606212300113-855-OKFKYOQULOJR,202606212300113-855-OKFKYOQULOJR
江苏3区,燕子矶,902,45.00,0,成长:1.275 1技能,****,https://xyq.cbg.163.com/equip?s=902&eid=202606211100113-902-Z5SYL4IQPFTN,202606211100113-902-Z5SYL4IQPFTN
北京2区,阳光城,299,45.45,123,成长:1.25,****,https://xyq.cbg.163.com/equip?s=299&eid=202606212100113-299-OQ7W8B3X7R5G,202606212100113-299-OQ7W8B3X7R5G
广东4区,状元坊,82,45.88,139,成长:1.25,******,https://xyq.cbg.163.com/equip?s=82&eid=202606201700113-82-HOWEZYPQZ2SB9,202606201700113-82-HOWEZYPQZ2SB9
北京2区,万里长城,689,45.88,130,成长:1.237 1技能,***,https://xyq.cbg.163.com/equip?s=689&eid=202606201900113-689-CU2QHA1FGURQ,202606201900113-689-CU2QHA1FGURQ
浙江4区,好运岛,881,45.88,0,成长:1.237,****,https://xyq.cbg.163.com/equip?s=881&eid=202606212300113-881-YHFF3ZOYM6F0,202606212300113-881-YHFF3ZOYM6F0
江苏1区,苏州园林,936,45.88,0,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=936&eid=202606211300113-936-XO9RIBLXPDEW,202606211300113-936-XO9RIBLXPDEW
广东4区,流溪河,84,45.90,135,成长:1.275 1技能,******,https://xyq.cbg.163.com/equip?s=84&eid=202606200900113-84-IPN91G93V3JZT,202606200900113-84-IPN91G93V3JZT
浙江3区,钱塘江,138,45.99,0,成长:1.237,******,https://xyq.cbg.163.com/equip?s=138&eid=202606221000113-138-DAXLUDWFQUPG,202606221000113-138-DAXLUDWFQUPG
福建2区,日光岩,304,45.99,1,成长:1.275 1技能,****,https://xyq.cbg.163.com/equip?s=304&eid=202606201800113-304-BAIVXAN1Z94P,202606201800113-304-BAIVXAN1Z94P
北京1区,紫禁城,9,46.00,129,成长:1.237,*****,https://xyq.cbg.163.com/equip?s=9&eid=202606220300113-9-YYYQQ92GUQTMPE,202606220300113-9-YYYQQ92GUQTMPE
江苏3区,花果山,26,46.00,124,成长:1.225 1技能,*****,https://xyq.cbg.163.com/equip?s=26&eid=202606211100113-26-UWBD2M9YUFIL9,202606211100113-26-UWBD2M9YUFIL9
上海1区,珍宝阁,159,46.00,126,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=159&eid=202606212300113-159-CBEXZQKSF5GE,202606212300113-159-CBEXZQKSF5GE
陕西区,西岳华山,203,46.00,134,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=203&eid=202606220900113-203-ECUFRHRBOINP,202606220900113-203-ECUFRHRBOINP
辽宁1区,星海湾,367,46.00,138,成长:1.25 1技能,***,https://xyq.cbg.163.com/equip?s=367&eid=202606191600113-367-TS3WAKNORJJ8,202606191600113-367-TS3WAKNORJJ8
广东3区,广州湾,677,46.00,0,成长:1.25,*****,https://xyq.cbg.163.com/equip?s=677&eid=202606202200113-677-FQOL6DJBUPWG,202606202200113-677-FQOL6DJBUPWG
上海1区,灿若星河,841,46.00,128,成长:1.237 1技能,*****,https://xyq.cbg.163.com/equip?s=841&eid=202606212300113-841-SBQDBOT4JKIE,202606212300113-841-SBQDBOT4JKIE
山东1区,凌绝顶,934,46.00,0,成长:1.225,*****,https://xyq.cbg.163.com/equip?s=934&eid=202606220000113-934-PFNOTUAER7S9,202606220000113-934-PFNOTUAER7S9
笑傲三界,纵横天下,868,46.50,126,成长:1.237,*****,https://xyq.cbg.163.com/equip?s=868&eid=202606211700113-868-FKKIR3QX72BO,202606211700113-868-FKKIR3QX72BO
湖北1区,武当山,94,46.88,137,成长:1.225 2技能,***,https://xyq.cbg.163.com/equip?s=94&eid=202606211500113-94-CAWPLICD6WVE9,202606211500113-94-CAWPLICD6WVE9
福建1区,朱紫坊,305,46.90,0,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=305&eid=202606212000113-305-RGHERCPYALQZ,202606212000113-305-RGHERCPYALQZ
浙江4区,绍兴鉴湖,416,46.90,136,成长:1.237 2技能,***,https://xyq.cbg.163.com/equip?s=416&eid=202606192200113-416-T4HQPNPU2VBB,202606192200113-416-T4HQPNPU2VBB
北京2区,龙争虎斗,816,46.99,125,成长:1.25,******,https://xyq.cbg.163.com/equip?s=816&eid=202606220700113-816-AGLYO3BQDC4B,202606220700113-816-AGLYO3BQDC4B
追忆,一生所爱,954,46.99,0,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=954&eid=202606220000113-954-ASECHRTSY7LL,202606220000113-954-ASECHRTSY7LL
广东3区,罗浮山,2,47.00,137,成长:1.25 2技能,*****,https://xyq.cbg.163.com/equip?s=2&eid=202606211000113-2-SCB6VWASCOB37U,202606211000113-2-SCB6VWASCOB37U
山东3区,蓬莱岛,33,47.00,0,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=33&eid=202606212200113-33-ONTJ2IBEUHWCQ,202606212200113-33-ONTJ2IBEUHWCQ
深圳2区,世界之窗,39,47.00,128,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=39&eid=202606220500113-39-ARKZ8RZVRID6H,202606220500113-39-ARKZ8RZVRID6H
时光,花样年华,45,47.00,0,成长:1.237,******,https://xyq.cbg.163.com/equip?s=45&eid=202606212200113-45-N8RONYFRNNXH3,202606212200113-45-N8RONYFRNNXH3
广东1区,湖光岩,72,47.00,0,成长:1.25 1技能,***,https://xyq.cbg.163.com/equip?s=72&eid=202606192200113-72-V3CCWV2F8KWT2,202606192200113-72-V3CCWV2F8KWT2
上海1区,晚芳亭,163,47.00,0,成长:1.262,**,https://xyq.cbg.163.com/equip?s=163&eid=202606211000113-163-4H3QZWG26Q0F,202606211000113-163-4H3QZWG26Q0F
山西区,雁门关,421,47.00,139,成长:1.25,****,https://xyq.cbg.163.com/equip?s=421&eid=202606212300113-421-IJCLXRGC0VRL,202606212300113-421-IJCLXRGC0VRL
天下无双,群星璀璨,723,47.00,132,成长:1.237,******,https://xyq.cbg.163.com/equip?s=723&eid=202606212300113-723-CVVZPAIMZLEH,202606212300113-723-CVVZPAIMZLEH
北京2区,长安街,732,47.00,0,成长:1.262 1技能,******,https://xyq.cbg.163.com/equip?s=732&eid=202606192200113-732-FHFANY3MUASS,202606192200113-732-FHFANY3MUASS
浙江3区,功成名就,804,47.00,137,成长:1.237,****,https://xyq.cbg.163.com/equip?s=804&eid=202606201300113-804-8TEWWS3OWXZE,202606201300113-804-8TEWWS3OWXZE
北京1区,黄金台,838,47.00,125,成长:1.275 1技能,********,https://xyq.cbg.163.com/equip?s=838&eid=202606212200113-838-X9LE6BBM2TLQ,202606212200113-838-X9LE6BBM2TLQ
江苏2区,枫桥夜泊,882,47.00,125,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=882&eid=202606211700113-882-LXLJW4WTJZJK,202606211700113-882-LXLJW4WTJZJK
北京1区,香山红叶,920,47.00,0,成长:1.225 1技能,********,https://xyq.cbg.163.com/equip?s=920&eid=202606190900113-920-RK9MHAOBWZSG,202606190900113-920-RK9MHAOBWZSG
上海1区,华灯初上,939,47.00,142,成长:1.25,****,https://xyq.cbg.163.com/equip?s=939&eid=202606211400113-939-EQSDCQXH9FSL,202606211400113-939-EQSDCQXH9FSL
追忆,2020,901,47.77,0,成长:1.275,***,https://xyq.cbg.163.com/equip?s=901&eid=202606212300113-901-VANBY6HWDOSQ,202606212300113-901-VANBY6HWDOSQ
广东2区,进贤门,77,47.88,124,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=77&eid=202606211600113-77-8PCJHMWDWDAX5,202606211600113-77-8PCJHMWDWDAX5
华南区,逍遥城,173,47.88,139,成长:1.225,******,https://xyq.cbg.163.com/equip?s=173&eid=202606210200113-173-XUY2ZLESZS3L,202606210200113-173-XUY2ZLESZS3L
河北3区,避暑山庄,15,47.99,30,成长:1.225 1技能,*******,https://xyq.cbg.163.com/equip?s=15&eid=202606210100113-15-VBWHZLF9IEALI,202606210100113-15-VBWHZLF9IEALI
山东5区,玉皇顶,34,47.99,129,成长:1.237,Тox°魔女メ,https://xyq.cbg.163.com/equip?s=34&eid=202606101100113-34-HPAXFO0TSWJSY,202606101100113-34-HPAXFO0TSWJSY
河南3区,南阳府,414,47.99,0,成长:1.262,****,https://xyq.cbg.163.com/equip?s=414&eid=202606220900113-414-3C4Q3ISB66BI,202606220900113-414-3C4Q3ISB66BI
北京2区,天之骄子,811,47.99,134,成长:1.237 2技能,****,https://xyq.cbg.163.com/equip?s=811&eid=202606181700113-811-E26C910YRZSN,202606181700113-811-E26C910YRZSN
广西1区,明秀园,12,48.00,126,成长:1.237,*****,https://xyq.cbg.163.com/equip?s=12&eid=202606190300113-12-GEFPBYSNRBPP7,202606190300113-12-GEFPBYSNRBPP7
广东2区,如意岛,79,48.00,139,成长:1.237 2技能,*****,https://xyq.cbg.163.com/equip?s=79&eid=202606212200113-79-DCH3TI6HLSV9X,202606212200113-79-DCH3TI6HLSV9X
四川2区,文殊院,167,48.00,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=167&eid=202606191100113-167-SUQG6HDZFOIL,202606191100113-167-SUQG6HDZFOIL
河北2区,燕赵风云,215,48.00,139,成长:1.237,******,https://xyq.cbg.163.com/equip?s=215&eid=202606210900113-215-63WJJGRKWOSR,202606210900113-215-63WJJGRKWOSR
江西区,庐山胜境,270,48.00,127,成长:1.225,******,https://xyq.cbg.163.com/equip?s=270&eid=202606220700113-270-T1T9O74JUWWF,202606220700113-270-T1T9O74JUWWF
浙江4区,绍兴兰亭,377,48.00,30,成长:1.237 1技能,******,https://xyq.cbg.163.com/equip?s=377&eid=202606220800113-377-UKFIV5J3QMUZ,202606220800113-377-UKFIV5J3QMUZ
北京1区,喜大普奔,699,48.00,124,成长:1.275 1技能,********,https://xyq.cbg.163.com/equip?s=699&eid=202606181900113-699-YYKSTOVUOIUP,202606181900113-699-YYKSTOVUOIUP
无与伦比,龙马精神,705,48.00,0,成长:1.225,*******,https://xyq.cbg.163.com/equip?s=705&eid=202606212100113-705-CMITYO896HCW,202606212100113-705-CMITYO896HCW
浙江4区,烟雨江南,750,48.00,0,成长:1.237,******,https://xyq.cbg.163.com/equip?s=750&eid=202606201500113-750-CZEXNME3ZZBG,202606201500113-750-CZEXNME3ZZBG
北京2区,东方巨龙,799,48.00,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=799&eid=202606210200113-799-R7WZ7A71UEZW,202606210200113-799-R7WZ7A71UEZW
浙江1区,团团圆圆,953,48.00,0,成长:1.262 1技能,****,https://xyq.cbg.163.com/equip?s=953&eid=202606220800113-953-MHA5KFOLPARP,202606220800113-953-MHA5KFOLPARP
北京1区,五道口,786,48.66,0,成长:1.25,******,https://xyq.cbg.163.com/equip?s=786&eid=202606210000113-786-XL3DKIOFXF44,202606210000113-786-XL3DKIOFXF44
云南区,蝴蝶泉,130,48.80,133,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=130&eid=202606220100113-130-I5YMHGKLXCM2,202606220100113-130-I5YMHGKLXCM2
山河社稷,长安城,892,48.88,129,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=892&eid=202606200600113-892-U6GMTUQVJCC0,202606200600113-892-U6GMTUQVJCC0
北京2区,一生一世,935,48.96,128,成长:1.237 1技能,********,https://xyq.cbg.163.com/equip?s=935&eid=202606191800113-935-BDKAJQQLC59F,202606191800113-935-BDKAJQQLC59F
浙江2区,苏堤春晓,137,48.99,30,成长:1.275 2技能,******,https://xyq.cbg.163.com/equip?s=137&eid=202606220200113-137-MM00QXWYW0EL,202606220200113-137-MM00QXWYW0EL
陕西区,大雁塔,200,48.99,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=200&eid=202606211700113-200-WAXT1MJBJQAJ,202606211700113-200-WAXT1MJBJQAJ
浙江3区,普陀山,139,49.00,30,成长:1.275 1技能,*****,https://xyq.cbg.163.com/equip?s=139&eid=202606210000113-139-OTZEJAX0P9UN,202606210000113-139-OTZEJAX0P9UN
河南1区,汴梁城,199,49.00,0,成长:1.25,****,https://xyq.cbg.163.com/equip?s=199&eid=202606212200113-199-8V5SBTGQFC4N,202606212200113-199-8V5SBTGQFC4N
山东2区,水泊梁山,212,49.00,141,成长:1.225,******,https://xyq.cbg.163.com/equip?s=212&eid=202606211400113-212-03LTXJOHRFSS,202606211400113-212-03LTXJOHRFSS
山东3区,壮气凌云,857,49.00,134,成长:1.237,***,https://xyq.cbg.163.com/equip?s=857&eid=202606210700113-857-XD09TXNBX6LZ,202606210700113-857-XD09TXNBX6LZ
浙江2区,灵隐寺,378,49.50,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=378&eid=202606210200113-378-LAZYW47HTYBH,202606210200113-378-LAZYW47HTYBH
安徽1区,紫蓬山,417,49.55,30,成长:1.237 1技能,****,https://xyq.cbg.163.com/equip?s=417&eid=202606211200113-417-CFQMYXYIRDYC,202606211200113-417-CFQMYXYIRDYC
内蒙区,雄鹰岭,229,49.66,25,成长:1.242,***,https://xyq.cbg.163.com/equip?s=229&eid=202606211700113-229-BNIJK0N8Y4EV,202606211700113-229-BNIJK0N8Y4EV
江苏1区,雨花台,104,49.88,136,成长:1.225 2技能,******,https://xyq.cbg.163.com/equip?s=104&eid=202606191900113-104-QB9SYFGPVPAB,202606191900113-104-QB9SYFGPVPAB
无与伦比,龙拳,583,49.88,128,成长:1.25,******,https://xyq.cbg.163.com/equip?s=583&eid=202606211100113-583-0PHNYNWXVXFR,202606211100113-583-0PHNYNWXVXFR
天下无双,逍遥三界,785,49.88,140,成长:1.275 1技能,******,https://xyq.cbg.163.com/equip?s=785&eid=202606211100113-785-O9EZNCN77JXU,202606211100113-785-O9EZNCN77JXU
追忆,梦回望月,150,49.89,133,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=150&eid=202606202300113-150-2TIUUTSCFVCA,202606202300113-150-2TIUUTSCFVCA
北京1区,太和殿,155,49.95,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=155&eid=202606211200113-155-LVDIAYQ0FQJU,202606211200113-155-LVDIAYQ0FQJU
河北1区,月亮湖,931,49.99,130,成长:1.275 2技能,****,https://xyq.cbg.163.com/equip?s=931&eid=202606210000113-931-P65DB6XWLDYX,202606210000113-931-P65DB6XWLDYX
河北1区,缘聚唐城,60,50.00,0,成长:1.25,**********,https://xyq.cbg.163.com/equip?s=60&eid=202606192200113-60-UFIWDLVDLOL3B,202606192200113-60-UFIWDLVDLOL3B
湖南区,洞庭湖,96,50.00,0,成长:1.225 1技能,*******,https://xyq.cbg.163.com/equip?s=96&eid=202606201100113-96-72YHTQD0Y5OMJ,202606201100113-96-72YHTQD0Y5OMJ
福建2区,齐云楼,326,50.75,0,成长:1.237,****,https://xyq.cbg.163.com/equip?s=326&eid=202606210800113-326-CUL8PBY1T3YP,202606210800113-326-CUL8PBY1T3YP
天下无双,金戈铁马,730,50.96,30,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=730&eid=202606221000113-730-MMI3BMCYXFDG,202606221000113-730-MMI3BMCYXFDG
北京2区,顺天府,821,50.99,127,成长:1.237 3技能,******,https://xyq.cbg.163.com/equip?s=821&eid=202606210000113-821-1IDN9GNIRF6G,202606210000113-821-1IDN9GNIRF6G
福建2区,百花村,11,51.00,30,成长:1.275 2技能,*****,https://xyq.cbg.163.com/equip?s=11&eid=202606220100113-11-OQVAVYQFR3Q0S,202606220100113-11-OQVAVYQFR3Q0S
四川1区,成都府,40,51.00,134,成长:1.237 1技能,川总！归墟来,https://xyq.cbg.163.com/equip?s=40&eid=202606131300113-40-9XJQHO3GVLBK3,202606131300113-40-9XJQHO3GVLBK3
广西1区,云天宫,86,51.00,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=86&eid=202606202200113-86-9LRBGB9MP3HDS,202606202200113-86-9LRBGB9MP3HDS
江苏1区,文昌阁,101,51.00,0,成长:1.237,***,https://xyq.cbg.163.com/equip?s=101&eid=202606181500113-101-YJXMBI4UKDNX,202606181500113-101-YJXMBI4UKDNX
浙江1区,台州湾,133,51.00,0,成长:1.25,****,https://xyq.cbg.163.com/equip?s=133&eid=202606220200113-133-LEZ5TNDAHICR,202606220200113-133-LEZ5TNDAHICR
河南2区,牡丹亭,192,51.00,135,成长:1.237 2技能,******,https://xyq.cbg.163.com/equip?s=192&eid=202606211800113-192-EBVYS1DVLMEK,202606211800113-192-EBVYS1DVLMEK
山东1区,东岳泰山,211,51.00,0,成长:1.275,****,https://xyq.cbg.163.com/equip?s=211&eid=202606202100113-211-ODYJ95DVER4G,202606202100113-211-ODYJ95DVER4G
无与伦比,千里之外,579,51.00,128,成长:1.225 2技能,****,https://xyq.cbg.163.com/equip?s=579&eid=202606212300113-579-FFEHG5WNWPIZ,202606212300113-579-FFEHG5WNWPIZ
山东5区,威海卫,657,51.00,125,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=657&eid=202606210900113-657-6WB754AUXMLT,202606210900113-657-6WB754AUXMLT
山东1区,青岛栈桥,669,51.00,30,成长:1.262 2技能,******,https://xyq.cbg.163.com/equip?s=669&eid=202606210700113-669-B1AQULYIEVOW,202606210700113-669-B1AQULYIEVOW
名扬三界,恭喜发财,911,51.55,129,成长:1.25 2技能,******,https://xyq.cbg.163.com/equip?s=911&eid=202606212100113-911-TIE9EW04DG1E,202606212100113-911-TIE9EW04DG1E
深圳1区,大观园,116,51.80,135,成长:1.225,***,https://xyq.cbg.163.com/equip?s=116&eid=202606190800113-116-GTEPCG8SZS22,202606190800113-116-GTEPCG8SZS22
深圳2区,小梅沙,344,51.89,139,成长:1.25 1技能,****,https://xyq.cbg.163.com/equip?s=344&eid=202606220400113-344-KBB7U2OILCQX,202606220400113-344-KBB7U2OILCQX
上海2区,东方明珠,38,51.99,0,成长:1.25,****,https://xyq.cbg.163.com/equip?s=38&eid=202606211100113-38-HMYVLTHALZAGO,202606211100113-38-HMYVLTHALZAGO
广东2区,万绿湖,78,52.00,128,成长:1.262 2技能,******,https://xyq.cbg.163.com/equip?s=78&eid=202606211800113-78-WGO9Z35OPU7FE,202606211800113-78-WGO9Z35OPU7FE
黑龙江区,雪域天龙,221,52.00,141,成长:1.225,*****,https://xyq.cbg.163.com/equip?s=221&eid=202606202000113-221-O899EMQA2Y0U,202606202000113-221-O899EMQA2Y0U
安徽1区,慈光阁,266,52.00,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=266&eid=202606191400113-266-SSFDIJFROGPM,202606191400113-266-SSFDIJFROGPM
无与伦比,本草纲目,559,52.00,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=559&eid=202606201000113-559-1UDOLXBM6USO,202606201000113-559-1UDOLXBM6USO
北京1区,江山如画,851,52.00,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=851&eid=202606211200113-851-SOYBJPXULBP9,202606211200113-851-SOYBJPXULBP9
云南区,彩云之南,127,52.80,125,成长:1.225,****,https://xyq.cbg.163.com/equip?s=127&eid=202606220100113-127-GQLYLVZVCZZ2,202606220100113-127-GQLYLVZVCZZ2
上海1区,苏州河,878,52.80,141,成长:1.237,******,https://xyq.cbg.163.com/equip?s=878&eid=202606201800113-878-WZ8RZHBXYMIQ,202606201800113-878-WZ8RZHBXYMIQ
山东1区,东海崂山,681,52.90,132,成长:1.262 3技能,*****,https://xyq.cbg.163.com/equip?s=681&eid=202606220800113-681-OIPIHJTOXLRT,202606220800113-681-OIPIHJTOXLRT
广西2区,叠彩山,6,53.00,139,成长:1.25,******,https://xyq.cbg.163.com/equip?s=6&eid=202606212100113-6-HZITWECIFQVYC2,202606212100113-6-HZITWECIFQVYC2
贵州区,红枫湖,285,53.00,0,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=285&eid=202606210200113-285-4NNIYNUOYDPT,202606210200113-285-4NNIYNUOYDPT
江苏2区,姑苏城,352,53.00,137,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=352&eid=202606201800113-352-V3Z43Q6YJUQA,202606201800113-352-V3Z43Q6YJUQA
无与伦比,青花瓷,558,53.00,128,成长:1.225,****,https://xyq.cbg.163.com/equip?s=558&eid=202606211900113-558-E25TQW6Y2MJA,202606211900113-558-E25TQW6Y2MJA
天下无双,诗情画意,791,53.00,142,成长:1.237,******,https://xyq.cbg.163.com/equip?s=791&eid=202606212200113-791-1X92Y6KIA1RL,202606212200113-791-1X92Y6KIA1RL
笑傲三界,花好月圆,807,53.00,141,成长:1.275 2技能,******,https://xyq.cbg.163.com/equip?s=807&eid=202606200300113-807-W1TNIPJB0HN0,202606200300113-807-W1TNIPJB0HN0
江苏1区,寒山寺,930,53.00,0,成长:1.262,******,https://xyq.cbg.163.com/equip?s=930&eid=202606221000113-930-9EUUQSYHQGQ8,202606221000113-930-9EUUQSYHQGQ8
良辰美景,玉兔呈祥,952,53.00,143,成长:1.237 1技能,*****,https://xyq.cbg.163.com/equip?s=952&eid=202606201400113-952-UMCRLKWH5H3J,202606201400113-952-UMCRLKWH5H3J
北京1区,恭王府,769,53.88,0,成长:1.237,*****,https://xyq.cbg.163.com/equip?s=769&eid=202606220200113-769-CZNHE1MBIPTW,202606220200113-769-CZNHE1MBIPTW
山东5区,曲阜孔庙,407,53.99,128,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=407&eid=202606201800113-407-CMOPDJA6XCAV,202606201800113-407-CMOPDJA6XCAV
重庆区,解放碑,146,54.00,0,成长:1.225,*****,https://xyq.cbg.163.com/equip?s=146&eid=202606182000113-146-LI0ONTNQ3KJ6,202606182000113-146-LI0ONTNQ3KJ6
湖北2区,黄鹤楼,223,54.00,139,成长:1.237 1技能,*****,https://xyq.cbg.163.com/equip?s=223&eid=202606202300113-223-VKS3YVIWOYV5,202606202300113-223-VKS3YVIWOYV5
福建2区,鼓浪屿,234,54.00,0,成长:1.275 1技能,*******,https://xyq.cbg.163.com/equip?s=234&eid=202606212300113-234-I9SNUSNPS9LK,202606212300113-234-I9SNUSNPS9LK
广东1区,二沙岛,942,54.00,133,成长:1.275 1技能,**********,https://xyq.cbg.163.com/equip?s=942&eid=202606211100113-942-RNBEBT8W0W66,202606211100113-942-RNBEBT8W0W66
无与伦比,梦幻西游,976,54.00,136,成长:1.237,****,https://xyq.cbg.163.com/equip?s=976&eid=202606212300113-976-NVL0F1OTIBOG,202606212300113-976-NVL0F1OTIBOG
广东4区,白云山,85,54.88,126,成长:1.225 3技能,*****,https://xyq.cbg.163.com/equip?s=85&eid=202606220100113-85-AUXI9FOKRAX0R,202606220100113-85-AUXI9FOKRAX0R
